coefficients,signature,discriminant,gal_group,disc_ratio,ring_int
"[1, -10, -14, -8, 26]",[1],-388001728,S_4,1,True
"[1, 11, -4, -8, -32]",[1],-492779520,S_4,1/256,False
"[1, 31, -31, 20, -7]",[1],-338388199,S_4,1,True
"[1, -30, 2, -29, -31]",[1],-24291428331,S_4,1,True
"[1, 27, -28, -14, 28]",[1],-6614427680,S_4,1/4,False
"[1, -5, -19, 5, 3]",[1],10941573,S_4,1,True
"[1, 21, -5, -5, -15]",[1],-1312681075,S_4,1,True
"[1, 9, 10, 8, -23]","[1, 2]",-58247563,S_4,1,True
"[1, 30, -22, 19, 25]",[1],-20862782075,S_4,1/25,False
"[1, -32, -13, 6, -1]",[2],-51542576,S_4,1/16,False
"[1, -9, -19, -17, 15]",[1],-200399291,S_4,1,True
"[1, 16, -13, 23, 1]",[2],-253374471,S_4,1,True
"[1, 15, -12, 31, 16]",[1],-1426264583,S_4,1,True
"[1, -23, -8, -22, 32]",[1],-10349572048,S_4,1/4,False
"[1, -28, -12, 32, -24]",[1],-10953932800,S_4,1/64,False
"[1, 0, 16, -20, 8]",[1],2921728,S_4,1/64,False
"[1, -27, 15, 19, -15]",[1],-794992779,S_4,1/9,False
"[1, 27, -3, 20, 19]",[1],-6419192711,S_4,1,True
"[1, 3, -2, 29, -4]",[1],-23303303,S_4,1,True
"[1, -21, 18, -13, -17]",[1],-1658920496,S_4,1/16,False
"[1, -5, 4, 29, 29]",[1],18428456,S_4,1,True
"[1, -3, -7, -27, 3]",[1],-26282427,S_4,1,True
"[1, -13, -32, -5, 24]",[1],-315080831,S_4,1,True
"[1, -26, -4, -24, -21]",[1],-5962499376,S_4,1,True
"[1, 20, 21, 10, -20]",[1],-1525731520,S_4,1/64,False
"[1, -10, 30, 18, -7]",[1],-59169280,S_4,1/64,False
"[1, 27, 11, -15, 13]",[1],-2718334899,S_4,1,True
"[1, -6, -24, -20, -12]",[1],-20100096,S_4,1/576,False
"[1, 8, 24, -11, 18]",[1],82149205,S_4,1/2809,False
"[1, -4, 26, 7, -3]",[1],-26804619,S_4,1/9,False
