,coefficients,signature,discriminant,number,type_i,source,type_II,gal_group,type_I,disc_ratio,is_OK
179,"[1, 1, 8, -7, -6]","[1, 1]",-1398231,2,False,df8,False,S_4,,1/9,False
180,"[1, 2, -3, -5, -7]","[1, 1]",-149607,2,False,df8,True,S_4,,1,True
181,"[1, 2, -3, -5, -4]","[1, 1]",-33183,2,False,df8,True,S_4,,1,True
182,"[1, 2, -3, 3, 4]","[1, 1]",-91679,2,False,df8,False,S_4,,1,True
183,"[1, 2, -2, -4, -6]","[1, 1]",-69568,2,False,df8,True,S_4,,1,True
184,"[1, 2, -2, -4, 5]","[1, 1]",14032,2,False,df8,True,S_4,,1,True
185,"[1, 2, -2, -4, 6]","[1, 1]",30272,2,False,df8,True,S_4,,1,True
186,"[1, 2, -2, -4, 7]","[1, 1]",54608,2,False,df8,True,S_4,,1/4,False
187,"[1, 2, -2, 4, -3]","[1, 1]",-27440,2,False,df8,False,S_4,,1,True
188,"[1, 2, -2, 5, 4]","[1, 1]",-124771,2,False,df8,False,S_4,,1,True
189,"[1, 2, -1, -3, -8]","[1, 1]",-125783,2,False,df8,True,S_4,,1,True
190,"[1, 2, -1, -3, -6]","[1, 1]",-51591,2,False,df8,True,S_4,,1,True
191,"[1, 2, -1, -3, 5]","[1, 1]",29281,2,False,df8,True,S_4,,1,True
192,"[1, 2, -1, -3, 6]","[1, 1]",52185,2,False,df8,True,S_4,,1,True
193,"[1, 2, -1, -3, 7]","[1, 1]",84337,2,False,df8,True,S_4,,1/121,False
194,"[1, 2, -1, 7, -6]","[1, 1]",-218751,2,False,df8,False,S_4,,1,True
195,"[1, 2, 0, -2, -7]","[1, 1]",-70848,2,False,df8,True,S_4,,1,True
196,"[1, 2, 0, -2, -6]","[1, 1]",-42800,2,False,df8,True,S_4,,1,True
197,"[1, 2, 0, -2, 2]","[1, 1]",3024,2,False,df8,True,S_4,,1,True
198,"[1, 2, 0, -2, 5]","[1, 1]",39744,2,False,df8,True,S_4,,1,True
199,"[1, 2, 0, -2, 6]","[1, 1]",66640,2,False,df8,True,S_4,,1,True
200,"[1, 2, 0, -2, 7]","[1, 1]",103424,2,False,df8,True,S_4,,1/64,False
201,"[1, 2, 0, 0, -8]","[1, 1]",-158720,2,False,df8,True,S_4,,1/64,False
202,"[1, 2, 1, -1, 5]","[1, 1]",42649,2,False,df8,True,S_4,,1,True
203,"[1, 2, 1, -1, 6]","[1, 1]",70481,2,False,df8,True,S_4,,1,True
204,"[1, 2, 1, -1, 8]","[1, 1]",157729,2,False,df8,True,S_4,,1,True
205,"[1, 2, 1, 1, -8]","[1, 1]",-155479,2,False,df8,True,S_4,,1,True
206,"[1, 2, 1, 7, -2]","[1, 1]",-87727,2,False,df8,False,S_4,,1,True
207,"[1, 2, 2, -3, 5]","[1, 1]",80389,2,False,df8,False,S_4,,1,True
208,"[1, 2, 2, 0, 5]","[1, 1]",37840,2,False,df8,True,S_4,,1,True
209,"[1, 2, 2, 0, 6]","[1, 1]",63552,2,False,df8,True,S_4,,1,True
210,"[1, 2, 2, 0, 7]","[1, 1]",98896,2,False,df8,True,S_4,,1/4,False
211,"[1, 2, 3, 1, 6]","[1, 1]",48217,2,False,df8,True,S_4,,1,True
212,"[1, 2, 3, 1, 7]","[1, 1]",77873,2,False,df8,True,S_4,,1,True
213,"[1, 2, 4, -7, -5]","[1, 1]",-301891,2,False,df8,False,S_4,,1,True
214,"[1, 2, 4, -1, 5]","[1, 1]",64909,2,False,df8,False,S_4,,1,True
215,"[1, 2, 4, 2, -7]","[1, 1]",-143552,2,False,df8,True,S_4,,1,True
216,"[1, 2, 4, 2, 8]","[1, 1]",80848,2,False,df8,True,S_4,,1/4,False
217,"[1, 2, 5, 3, -8]","[1, 1]",-290111,2,False,df8,True,S_4,,1,True
218,"[1, 2, 5, 3, 7]","[1, 1]",23689,2,False,df8,True,S_4,,1,True
219,"[1, 2, 7, 5, -5]","[1, 1]",-282415,2,False,df8,True,S_4,,1,True
220,"[1, 2, 7, 5, -4]","[1, 1]",-202103,2,False,df8,True,S_4,,1,True
221,"[1, 2, 7, 5, -3]","[1, 1]",-137119,2,False,df8,True,S_4,,1,True
222,"[1, 2, 7, 5, 3]","[1, 1]",16913,2,False,df8,True,S_4,,1,True
223,"[1, 2, 8, 6, -5]","[1, 1]",-451328,2,False,df8,True,S_4,,1/16,False
224,"[1, 2, 8, 6, -3]","[1, 1]",-238272,2,False,df8,True,S_4,,1,True
225,"[1, 2, 8, 6, 2]","[1, 1]",19408,2,False,df8,True,S_4,,1,True
226,"[1, 2, 8, 6, 3]","[1, 1]",36096,2,False,df8,True,S_4,,1/16,False
227,"[1, 2, 8, 6, 8]","[1, 1]",29776,2,False,df8,True,S_4,,1/4,False
228,"[1, 3, -6, -6, 6]","[1, 1]",145044,2,False,df8,False,S_4,,1,True
229,"[1, 3, -6, 8, 2]","[1, 1]",-575788,2,False,df8,False,S_4,,1,True
230,"[1, 3, -5, -5, 4]","[1, 1]",70292,2,False,df8,False,S_4,,1,True
231,"[1, 3, -5, -3, 2]","[1, 1]",41684,2,False,df8,False,S_4,,1,True
232,"[1, 3, -5, 0, -7]","[1, 1]",-770791,2,False,df8,False,S_4,,1,True
233,"[1, 3, -5, 6, -7]","[1, 1]",-481567,2,False,df8,False,S_4,,1,True
234,"[1, 3, -4, -1, -2]","[1, 1]",-59831,2,False,df8,False,S_4,,1,True
235,"[1, 3, -4, 7, 4]","[1, 1]",-615023,2,False,df8,False,S_4,,1,True
236,"[1, 3, -3, 0, -3]","[1, 1]",-78759,2,False,df8,False,S_4,,1,True
237,"[1, 3, -3, 5, -4]","[1, 1]",-112108,2,False,df8,False,S_4,,1,True
238,"[1, -1, 2, 8, 6]","[1, 1]",96052,2,False,df8,False,S_4,,1,True
239,"[1, 0, -8, -3, 8]","[1, 1]",64373,2,False,df8,False,S_4,,1,True
240,"[1, 0, -8, -1, -8]","[1, 1]",-1168411,2,False,df8,True,S_4,,1,True
241,"[1, 0, -8, -1, -2]","[1, 1]",-161563,2,False,df8,True,S_4,,1,True
242,"[1, 0, -8, -1, 2]","[1, 1]",100069,2,False,df8,True,S_4,,1,True
243,"[1, 0, -7, -1, -6]","[1, 1]",-504191,2,False,df8,True,S_4,,1,True
244,"[1, 0, -7, -1, -4]","[1, 1]",-265023,2,False,df8,True,S_4,,1/9,False
245,"[1, 0, -7, -1, -3]","[1, 1]",-174239,2,False,df8,True,S_4,,1,True
246,"[1, 0, -7, -1, -2]","[1, 1]",-100607,2,False,df8,True,S_4,,1,True
247,"[1, 0, -7, -1, 2]","[1, 1]",53121,2,False,df8,True,S_4,,1,True
248,"[1, 0, -6, -1, -6]","[1, 1]",-339579,2,False,df8,True,S_4,,1,True
249,"[1, 0, -6, -1, -5]","[1, 1]",-245723,2,False,df8,True,S_4,,1,True
250,"[1, 0, -5, -1, -7]","[1, 1]",-309095,2,False,df8,True,S_4,,1,True
251,"[1, 0, -4, -1, -8]","[1, 1]",-290075,2,False,df8,True,S_4,,1,True
252,"[1, 0, 0, -7, -5]","[1, 1]",-96827,2,False,df8,False,S_4,,1,True
253,"[1, 0, 1, -1, -8]","[1, 1]",-140575,2,False,df8,True,S_4,,1,True
254,"[1, 0, 1, -1, -6]","[1, 1]",-60895,2,False,df8,True,S_4,,1,True
255,"[1, 0, 1, -1, 3]","[1, 1]",6209,2,False,df8,True,S_4,,1,True
256,"[1, 0, 1, -1, 6]","[1, 1]",51617,2,False,df8,True,S_4,,1,True
257,"[1, 0, 1, -1, 8]","[1, 1]",124129,2,False,df8,True,S_4,,1,True
258,"[1, 0, 2, -3, 3]","[1, 1]",8373,2,False,df8,False,S_4,,1,True
259,"[1, 0, 2, -1, -6]","[1, 1]",-77051,2,False,df8,True,S_4,,1,True
260,"[1, 0, 2, -1, 6]","[1, 1]",40069,2,False,df8,True,S_4,,1,True
261,"[1, 0, 2, -1, 7]","[1, 1]",66469,2,False,df8,True,S_4,,1,True
262,"[1, 0, 2, -1, 8]","[1, 1]",102597,2,False,df8,True,S_4,,1,True
263,"[1, 0, 3, -7, 5]","[1, 1]",45401,2,False,df8,False,S_4,,1,True
264,"[1, 0, 3, -1, -7]","[1, 1]",-156487,2,False,df8,True,S_4,,1,True
265,"[1, 0, 3, -1, 5]","[1, 1]",11705,2,False,df8,True,S_4,,1,True
266,"[1, 0, 3, -1, 8]","[1, 1]",71033,2,False,df8,True,S_4,,1,True
267,"[1, 0, 4, -1, -8]","[1, 1]",-299803,2,False,df8,True,S_4,,1,True
268,"[1, 0, 4, -1, -2]","[1, 1]",-19867,2,False,df8,True,S_4,,1,True
269,"[1, 0, 4, -1, 7]","[1, 1]",19877,2,False,df8,True,S_4,,1,True
270,"[1, 0, 4, -1, 8]","[1, 1]",37093,2,False,df8,True,S_4,,1,True
271,"[1, 3, -2, 7, 2]","[1, 1]",-230303,2,False,df8,False,S_4,,1,True
272,"[1, 3, 0, 7, -2]","[1, 1]",-123503,2,False,df8,False,S_4,,1,True
273,"[1, 4, -8, -5, -3]","[1, 1]",-757003,2,False,df8,False,S_4,,1,True
274,"[1, 4, 7, -3, -2]","[1, 1]",-90271,2,False,df8,False,S_4,,1,True
275,"[1, 4, 7, 5, -8]","[1, 1]",-198463,2,False,df8,True,S_4,,1,True
276,"[1, 4, 7, 7, -8]","[1, 1]",-358015,2,False,df8,True,S_4,,1,True
277,"[1, 4, 8, 7, -8]","[1, 1]",-312699,2,False,df8,True,S_4,,1,True
278,"[1, 5, -8, -7, -2]","[1, 1]",-374527,2,False,df8,False,S_4,,1,True
279,"[1, 6, -3, 5, -5]","[1, 1]",-1168295,2,False,df8,False,S_4,,1,True
280,"[1, 6, -1, -1, 2]","[1, 1]",-145239,2,False,df8,False,S_4,,1,True
281,"[1, 6, 1, 5, -4]","[1, 1]",-758543,2,False,df8,False,S_4,,1,True
282,"[1, 6, 2, 3, -3]","[1, 1]",-334875,2,False,df8,False,S_4,,1/25,False
283,"[1, 6, 3, -3, 3]","[1, 1]",-201015,2,False,df8,False,S_4,,1,True
284,"[1, 6, 6, -8, 8]","[1, 1]",66560,2,False,df8,True,D_4,,1/64,False
285,"[1, 6, 7, -7, 4]","[1, 1]",65057,2,False,df8,True,S_4,,1,True
