coefficients,signature,discriminant,gal_group,disc_ratio,ring_int
"[1, 7, 6, -2, -1]",[3],36517,D_4,1,True
"[1, 7, 6, -2, 1]",[2],-69147,S_4,1,True
"[1, 7, 6, -2, 2]",[2],-193676,S_4,1,True
"[1, 7, 6, -2, 3]",[1],-363955,S_4,1,True
"[1, 7, 6, -2, 4]",[1],-578448,S_4,1/4,False
"[1, 7, 6, -2, 5]",[1],-835619,S_4,1,True
"[1, 7, 6, -2, 6]",[1],-1133932,S_4,1,True
"[1, 7, 6, -2, 7]",[1],-1471851,S_4,1/9,False
"[1, 7, 6, -2, 8]",[1],-1847840,S_4,1/4,False
"[1, 7, 6, -1, -8]",[1],-1474591,S_4,1,True
"[1, 7, 6, -1, -7]",[2],-1082916,S_4,1,True
"[1, 7, 6, -1, -5]",[2],-484816,S_4,1/4,False
"[1, 7, 6, -1, -4]",[1],-275319,S_4,1/9,False
"[1, 7, 6, -1, -3]",[1],-123476,S_4,1,True
"[1, 7, 6, -1, -2]",[3],-27751,S_4,1,True
"[1, 7, 6, -1, 1]",[2],-61924,S_4,1,True
"[1, 7, 6, -1, 2]",[1],-175311,S_4,1,True
"[1, 7, 6, -1, 3]",[1],-337136,S_4,1/16,False
"[1, 7, 6, -1, 4]",[1],-545863,S_4,1,True
"[1, 7, 6, -1, 5]",[1],-799956,S_4,1/9,False
"[1, 7, 6, -1, 6]",[1],-1097879,S_4,1,True
"[1, 7, 6, -1, 7]",[1],-1438096,S_4,1/4,False
"[1, 7, 6, -1, 8]",[1],-1819071,S_4,1,True
"[1, 7, 6, 0, -8]",[1],-1692608,S_4,1/64,False
"[1, 7, 6, 0, -7]",[1],-1264459,S_4,1,True
"[1, 7, 6, 0, -6]",[1],-901260,S_4,1,True
"[1, 7, 6, 0, -5]","[0, 1]",-601475,S_4,1,True
"[1, 7, 6, 0, -4]",[1],-363568,S_4,1/4,False
"[1, 7, 6, 0, -3]",[1],-186003,S_4,1,True
"[1, 7, 6, 0, -2]",[1],-67244,S_4,1,True
"[1, 7, 6, 0, -1]",[4],-5755,S_4,1,True
"[1, 7, 6, 0, 1]","[4, 0]",-48443,S_4,1,True
"[1, 7, 6, 0, 2]",[1],-149548,S_4,1/49,False
"[1, 7, 6, 0, 3]",[1],-301779,S_4,1,True
"[1, 7, 6, 0, 4]","[0, 1]",-503600,S_4,1/100,False
"[1, 7, 6, 0, 5]",[2],-753475,S_4,1,True
"[1, 7, 6, 0, 6]",[1],-1049868,S_4,1,True
"[1, 7, 6, 0, 7]",[1],-1391243,S_4,1,True
"[1, 7, 6, 0, 8]",[1],-1776064,S_4,1/64,False
"[1, 7, 6, 1, -8]","[1, 1]",-1917999,S_4,1/9,False
"[1, 7, 6, 1, -7]",[1],-1452236,S_4,1/4,False
