coefficients,signature,discriminant
"[1, -7, -6, -1, 2]",[1],-440519
"[1, -7, -6, -1, 3]",[1],-996520
"[1, -7, -6, -1, 4]",[1],-1774143
"[1, -7, -6, -1, 5]",[1],-2771852
"[1, -7, -6, -1, 6]",[1],-3988111
"[1, -7, -6, -1, 7]",[1],-5421384
"[1, -7, -6, -1, 8]",[1],-7070135
"[1, -7, -6, 0, -8]",[1],-7788992
"[1, -7, -6, 0, -7]",[1],-6006091
"[1, -7, -6, 0, -6]",[1],-4457484
"[1, -7, -6, 0, -5]",[1],-3141635
"[1, -7, -6, 0, -4]",[1],-2057008
"[1, -7, -6, 0, -3]",[2],-1202067
"[1, -7, -6, 0, -1]",[3],-175099
"[1, -7, -6, 0, 1]","[2, 0]",-48443
"[1, -7, -6, 0, 2]",[1],-318892
"[1, -7, -6, 0, 3]",[1],-809811
