coefficients,signature,discriminant,number,type_i,source,type_II,gal_group,type_I
"[1, -2, -8, 8, 11]","[1, 1]",297680,2,False,df16,True,S_4,
"[1, 3, 0, -8, -2]","[1, 1]",-40748,2,False,df16,False,S_4,
"[1, 2, 3, 3, -14]","[1, 1]",-921983,2,False,df16,True,S_4,
"[1, -2, -7, 7, -2]","[1, 1]",-35367,2,False,df16,True,S_4,
"[1, -3, -11, -10, -7]","[1, 1]",-686951,2,False,df16,False,S_4,
"[1, 0, 11, 1, -4]","[1, 1]",-1212903,2,False,df16,True,S_4,
"[1, 2, 8, 8, 11]","[1, 1]",14032,2,False,df16,True,S_4,
"[1, -9, 10, 16, 2]","[1, 1]",2673364,2,False,df16,False,S_4,
"[1, 2, 6, 6, 11]","[1, 1]",48704,2,False,df16,True,S_4,
"[1, -4, -1, 9, -8]","[1, 1]",-174239,2,False,df16,True,S_4,
"[1, 4, 4, 8, 2]","[1, 1]",-62464,2,False,df16,False,S_4,
"[1, 4, 9, 11, -8]","[1, 1]",-779719,2,False,df16,True,S_4,
"[1, -7, 12, -15, 6]","[1, 1]",-176823,2,False,df16,False,S_4,
"[1, -4, 7, -5, 15]","[1, 1]",679585,2,False,df16,True,S_4,
"[1, 0, 10, -1, -5]","[1, 1]",-1163227,2,False,df16,True,S_4,
"[1, 4, 2, -5, -8]","[1, 1]",-63003,2,False,df16,True,S_4,
"[1, 2, 10, 8, 3]","[1, 1]",93392,2,False,df16,True,S_4,
