coefficients,signature,discriminant
"[1, -53, 15, 17, -24]",[1],-99102823088
"[1, 3, 20, 51, 52]",[1],26251713
"[1, -24, 5, 22, 10]",[1],-557232224
"[1, 10, -31, -21, 16]",[1],812039857
"[1, 27, -21, 1, -9]",[2],-1541184651
"[1, -32, -19, 31, 61]",[1],-86330142159
"[1, -54, -60, 34, -2]",[1],21111622096
"[1, -64, 61, 32, 32]",[1],-768049524224
"[1, 4, -39, 40, -4]",[1],106566592
"[1, 45, -38, 62, 7]",[1],-114961107739
"[1, 50, 32, 35, 35]",[1],-138580471715
"[1, 37, 17, -2, 57]",[1],-156670301783
"[1, -13, 55, 43, 41]",[1],3425673605
"[1, -36, 41, 0, 1]",[2],-349987248
"[1, 47, 36, 12, -12]",[1],-21991029552
"[1, -48, -29, 5, 2]","[1, 0]",578108137
"[1, -3, 34, -5, 64]",[1],819398201
"[1, 21, 30, 56, 19]",[1],-2049491075
"[1, -41, 6, 5, 33]",[1],-82685319836
"[1, -5, -48, -59, 47]",[1],-244460876
"[1, 10, -25, -7, 32]",[1],-89698759
"[1, -30, 54, 64, 40]",[1],-61513760768
"[1, -51, 63, -7, -46]",[1],-272663986000
"[1, 46, 13, -34, 52]",[1],-340906180048
"[1, 23, 35, -3, -39]",[1],-4431036795
"[1, -54, 33, 63, 40]",[1],-425122189583
"[1, -52, 5, -37, 28]",[1],-169372322439
"[1, 20, 21, 11, -60]",[1],-12456395671
"[1, 5, 6, 29, 13]",[1],-14757876
"[1, 53, 50, 52, 28]",[1],-69018437808
"[1, -47, -18, -52, 3]",[1],-65382062819
"[1, -45, -13, -10, -26]",[1],-72560799464
"[1, 24, 38, -36, -43]",[1],6006148352
"[1, 44, 8, -60, -44]",[1],-84721971968
"[1, -5, 36, -41, 35]",[1],196728124
"[1, -3, 4, -36, -36]",[1],-100005552
"[1, 41, -6, 63, -20]",[1],-91157016911
"[1, 21, 23, 27, 25]",[2],-1337520123
"[1, -11, -25, 51, -22]",[1],-197467724
"[1, -49, -49, 52, 33]",[1],133794523905
"[1, 31, -20, -44, 64]",[1],-66678803200
"[1, 15, -64, -49, 27]",[1],29993110300
"[1, -6, -22, -6, -61]","[0, 1]",-1065901504
"[1, -37, 28, -61, -40]",[1],-163056766103
"[1, -5, -54, -55, -8]",[2],490203113
"[1, -50, 30, -8, 9]",[1],-10633225648
"[1, 12, -3, 44, -51]",[1],-2305252656
"[1, -19, 48, -62, -36]",[1],-6918205856
"[1, -43, -42, 18, -30]",[1],-143523822348
"[1, 31, -56, 62, -28]",[1],-4382708704
"[1, 48, 47, -18, 60]",[1],-601099440096
"[1, 38, -48, -23, -17]",[1],-47575159411
"[1, -64, 8, 18, -38]",[1],-614659277744
"[1, 9, 62, 48, -17]",[1],-2286251739
"[1, -35, -29, -55, 27]",[1],-96158930027
"[1, -22, 7, 13, 20]",[1],-2568149671
"[1, -32, 51, 58, 48]",[1],-107008441312
"[1, -26, 35, 16, 27]",[1],-12332670032
"[1, 26, -10, 10, 24]",[1],-8521931568
"[1, -46, 37, -36, 3]",[1],-9048323952
"[1, 53, 50, 60, 54]",[1],-332664889068
"[1, -63, 38, 63, 57]",[1],-1688586812268
"[1, 6, 11, 56, 58]",[1],-155163392
"[1, 30, -60, 55, 59]",[1],-184097640451
"[1, 1, -10, -49, -58]",[1],-21844951
"[1, 29, 9, -32, -56]",[1],-45816375136
"[1, -31, 20, 8, 13]",[1],-5049694803
"[1, 24, 9, -52, -37]",[2],492545264
"[1, -53, -14, -30, -6]",[1],-17025305580
"[1, -8, 38, -2, 31]",[1],620649552
"[1, -35, 4, 6, -29]",[1],-32872787563
"[1, -13, 60, -17, -43]",[1],-1457348976
"[1, 12, -21, -63, 40]",[1],3835542001
"[1, 58, -17, -61, 5]",[1],195198688697
"[1, -31, -33, 11, -26]",[1],-29556261612
"[1, 9, 25, 18, 50]",[1],40370936
"[1, 57, -10, -40, 44]",[1],-452896465968
"[1, 35, 49, 14, 35]",[1],-41143179623
"[1, -45, -41, 24, -22]",[1],-103522471972
"[1, -58, -32, -32, 22]",[1],-251607602368
"[1, 36, -14, -12, -15]",[1],-12822982656
"[1, -25, -17, -31, -21]",[1],-4004556451
"[1, 39, 60, -24, -41]",[1],19322442517
"[1, 0, -50, 9, -41]",[1],-4591329723
"[1, 3, 53, 53, -11]",[1],-2630200787
"[1, -42, -7, 6, -58]",[1],-291874997200
"[1, 2, -42, -35, -58]",[1],-3559995603
"[1, -60, -15, 27, 32]",[1],-295723895719
"[1, 53, 4, -29, 55]",[1],-641963379676
"[1, -52, -35, 36, -62]",[1],-1015910975392
"[1, -7, -30, 11, -22]",[1],-716343287
"[1, 33, -8, 3, 3]",[1],-344488524
"[1, 56, 19, 56, -60]",[1],-1232522686144
"[1, -52, -3, -56, -4]",[1],-100723411008
"[1, -23, 2, -15, -44]",[1],-14901217583
"[1, -42, 8, 37, 12]",[1],-1796429963
"[1, 64, 52, 33, -64]",[1],-2104889970843
"[1, 12, -2, -24, -52]",[1],-1469154304
"[1, 1, -43, 31, -30]",[1],-1305172928
"[1, -12, 41, -26, -6]",[1],-1123616
"[1, -64, -17, -20, -60]",[1],-1582210455680
"[1, 21, 5, -2, -26]",[2],-3289081400
"[1, -7, 23, -9, 29]",[1],47704717
"[1, 26, -56, -16, -30]",[1],-45699271360
"[1, -7, -47, 26, -5]",[1],-213159175
